customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,242,1,77183.6,1,1,5,115,Hibernating
12347,40,7,4310.0,3,5,5,355,Loyalists
12348,34,4,1797.24,3,4,4,344,Loyalists
12349,115,1,1757.55,2,1,4,214,Hibernating
12350,198,1,334.4,1,1,2,112,Hibernating
12352,30,8,2506.04,4,5,5,455,Champions
12353,9,1,89.0,5,1,1,511,At risk
12354,30,1,1079.4,4,1,4,414,At risk
12355,20,1,459.4,4,1,2,412,At risk
12356,46,3,2811.43,3,3,5,335,Loyalists
12357,218,1,6207.67,1,1,5,115,Hibernating
12358,40,2,1168.06,3,2,4,324,At risk
12359,6,4,6372.58,5,4,5,545,Champions
12360,5,3,2662.06,5,3,5,535,Loyalists
12361,139,1,189.9,2,1,1,211,Hibernating
12362,10,10,5226.23,5,5,5,555,Champions
12363,41,2,552.0,3,2,3,323,At risk
12364,40,4,1313.1,3,4,4,344,Loyalists
12365,156,2,641.38,2,2,3,223,Hibernating
12367,47,1,168.9,3,1,1,311,At risk
12370,104,4,3545.69,2,4,5,245,At risk
12371,11,2,1887.96,5,2,4,524,At risk
12372,18,3,1298.04,4,3,4,434,Loyalists
12373,202,1,364.6,1,1,2,112,Hibernating
12374,157,1,742.93,2,1,3,213,Hibernating
12375,71,2,457.5,2,2,2,222,Hibernating
12377,212,2,1628.12,1,2,4,124,Hibernating
12378,181,1,4008.62,1,1,5,115,Hibernating
12379,53,2,852.24,3,2,3,323,At risk
12380,5,4,2724.81,5,4,5,545,Champions
12381,9,5,1845.31,5,4,4,544,Champions
12383,34,5,1850.56,3,4,4,344,Loyalists
12384,156,2,585.27,2,2,3,223,Hibernating
12386,268,2,401.9,1,2,2,122,Hibernating
12388,34,6,2780.66,3,4,5,345,Loyalists
12390,47,1,549.84,3,1,3,313,At risk
12391,131,1,460.89,2,1,2,212,Hibernating
12393,29,4,1582.6,4,4,4,444,Champions
12394,17,2,1272.48,4,2,4,424,At risk
12395,17,12,3018.63,4,5,5,455,Champions
12397,200,2,2409.9,1,2,5,125,Hibernating
12398,319,1,1635.66,1,1,4,114,Hibernating
12399,19,4,1108.65,4,4,4,444,Champions
12401,184,1,84.3,1,1,1,111,Hibernating
12402,237,1,225.6,1,1,1,111,Hibernating
12403,358,1,427.7,1,1,2,112,Hibernating
12405,236,1,1710.39,1,1,4,114,Hibernating
12406,132,2,3415.3,2,2,5,225,Hibernating
12407,33,5,1708.12,3,4,4,344,Loyalists
12408,73,5,2888.55,2,4,5,245,At risk
12409,43,3,11072.67,3,3,5,335,Loyalists
12410,192,2,693.33,1,2,3,123,Hibernating
12412,33,3,1226.88,3,3,4,334,Loyalists
12413,23,3,758.1,4,3,3,433,Loyalists
12414,22,3,562.41,4,3,3,433,Loyalists
12415,8,21,124914.53,5,5,5,555,Champions
12417,26,9,3649.1,4,5,5,455,Champions
12418,130,1,668.58,2,1,3,213,Hibernating
12420,17,1,600.39,4,1,3,413,At risk
12421,90,4,807.04,2,4,3,243,At risk
12422,86,3,803.56,2,3,3,233,At risk
12423,1,8,1859.31,5,5,4,554,Champions
12424,274,2,1760.96,1,2,4,124,Hibernating
12425,39,1,777.2,3,1,3,313,At risk
12426,2,1,582.73,5,1,3,513,At risk
