"customer_id";"total_orders";"total_quantity";"total_revenue";"first_purchase_ts";"last_purchase_ts";"customer_lifetime_days"
12346;1;74215.0;77183.6;"2011-04-12";"2011-04-12";0
12347;7;2458.0;4310.0;"2010-12-20";"2011-10-31";315
12348;4;2341.0;1797.24;"2011-02-27";"2011-11-06";252
12349;1;631.0;1757.55;"2011-08-17";"2011-08-17";0
12350;1;197.0;334.4;"2011-05-26";"2011-05-26";0
12352;8;536.0;2506.04;"2011-04-04";"2011-11-10";220
12353;1;20.0;89.0;"2011-12-01";"2011-12-01";0
12354;1;530.0;1079.4;"2011-11-10";"2011-11-10";0
12355;1;240.0;459.4;"2011-11-20";"2011-11-20";0
12356;3;1591.0;2811.43;"2011-04-12";"2011-10-25";196
12357;1;2708.0;6207.67;"2011-05-06";"2011-05-06";0
12358;2;248.0;1168.06;"2011-04-12";"2011-10-31";202
12359;4;1622.0;6372.58;"2010-12-05";"2011-12-04";364
12360;3;1165.0;2662.06;"2010-12-06";"2011-12-05";364
12361;1;91.0;189.9;"2011-07-24";"2011-07-24";0
12362;10;2229.0;5226.23;"2011-02-03";"2011-11-30";300
12363;2;408.0;552.0;"2011-08-08";"2011-10-30";83
12364;4;1506.0;1313.1;"2011-03-06";"2011-10-31";239
12365;2;174.0;641.38;"2011-07-07";"2011-07-07";0
12367;1;173.0;168.9;"2011-10-24";"2011-10-24";0
12370;4;2353.0;3545.69;"2010-12-10";"2011-08-28";261
12371;2;591.0;1887.96;"2011-02-01";"2011-11-29";301
12372;3;794.0;1298.04;"2011-06-23";"2011-11-22";152
12373;1;197.0;364.6;"2011-05-22";"2011-05-22";0
12374;1;342.0;742.93;"2011-07-06";"2011-07-06";0
12375;2;178.0;457.5;"2011-09-11";"2011-09-30";19
12377;2;944.0;1628.12;"2011-03-03";"2011-05-12";70
12378;1;2529.0;4008.62;"2011-06-09";"2011-06-12";3
12379;2;407.0;852.24;"2011-02-18";"2011-10-18";242
12380;4;1127.0;2724.81;"2010-12-10";"2011-12-05";360
12381;5;808.0;1845.31;"2011-04-28";"2011-12-01";217
12383;5;1532.0;1850.56;"2010-12-13";"2011-11-06";328
12384;2;126.0;585.27;"2011-06-08";"2011-07-07";29
12386;2;354.0;401.9;"2011-01-11";"2011-03-17";65
12388;6;1462.0;2780.66;"2011-04-08";"2011-11-06";212
12390;1;353.0;549.84;"2011-10-24";"2011-10-24";0
12391;1;300.0;460.89;"2011-08-01";"2011-08-01";0
12393;4;816.0;1582.6;"2011-03-29";"2011-11-11";227
12394;2;819.0;1272.48;"2011-11-18";"2011-11-23";5
12395;12;2118.0;3018.63;"2010-12-10";"2011-11-23";348
12397;2;1263.0;2409.9;"2011-04-08";"2011-05-24";46
12398;1;1394.0;1635.66;"2011-01-25";"2011-01-25";0
12399;4;1178.0;1108.65;"2010-12-20";"2011-11-21";336
12401;1;11.0;84.3;"2011-06-09";"2011-06-09";0
12402;1;94.0;225.6;"2011-04-17";"2011-04-17";0
12403;1;96.0;427.7;"2010-12-17";"2010-12-17";0
12405;1;857.0;1710.39;"2011-04-17";"2011-04-18";1
12406;2;1818.0;3415.3;"2010-12-17";"2011-07-31";226
12407;5;1416.0;1708.12;"2010-12-17";"2011-11-07";325
12408;5;1409.0;2888.55;"2011-01-30";"2011-09-28";241
12409;3;5551.0;11072.67;"2011-01-06";"2011-10-28";295
12410;2;211.0;693.33;"2011-06-01";"2011-06-01";0
12412;3;829.0;1226.88;"2011-02-22";"2011-11-07";258
12413;3;286.0;758.1;"2011-03-18";"2011-11-17";244
12414;3;300.0;562.41;"2011-05-25";"2011-11-18";177
12415;21;77374.0;124914.53;"2011-01-23";"2011-12-02";313
12417;9;1552.0;3649.1;"2010-12-08";"2011-11-14";341
12418;1;407.0;668.58;"2011-08-02";"2011-08-02";0
12420;1;345.0;600.39;"2011-11-23";"2011-11-23";0
12421;4;484.0;807.04;"2011-02-03";"2011-09-11";220
12422;3;370.0;803.56;"2011-02-27";"2011-09-15";200
12423;8;1339.0;1859.31;"2011-03-07";"2011-12-09";277
12424;2;740.0;1760.96;"2011-03-11";"2011-03-11";0
12425;1;496.0;777.2;"2011-11-01";"2011-11-01";0
12426;1;258.0;582.73;"2011-12-08";"2011-12-08";0
12427;3;533.0;825.8;"2010-12-08";"2011-11-28";355
12428;9;3536.0;7956.46;"2011-03-24";"2011-10-28";218
12429;4;1557.0;3750.4;"2011-01-19";"2011-11-11";296
12430;1;117.0;256.4;"2011-02-15";"2011-02-15";0
12431;15;2906.0;6487.45;"2010-12-01";"2011-12-05";369
12432;5;1801.0;5059.32;"2011-02-10";"2011-02-21";11
12433;7;11071.0;13375.87;"2010-12-02";"2011-11-04";337
12434;2;394.0;806.14;"2011-09-28";"2011-10-13";15
12435;2;2055.0;7829.89;"2011-09-12";"2011-10-24";42
12436;1;211.0;509.01;"2011-09-06";"2011-09-06";0
12437;18;2922.0;4951.41;"2011-01-19";"2011-12-06";321
12438;2;1180.0;2906.85;"2011-05-15";"2011-09-19";127
12441;1;121.0;173.55;"2011-01-11";"2011-01-11";0
12442;1;182.0;172.06;"2011-10-27";"2011-10-27";0
12444;5;1153.0;5005.46;"2011-02-14";"2011-12-01";290
